country,ISO_code,region,year,pf_rol,pf_ss,pf_movement,pf_religion,pf_association,pf_expression,pf_identity,ef_government,ef_legal,ef_money,ef_trade,ef_regulation,pf_score,pf_rank,ef_score,ef_rank,hf_score,hf_rank,hf_quartile
Guinea-Bissau,GNB,Sub-Saharan Africa,2015,3.138332045,7.00446366,10,9.03,,7,8.333333333,5.22745098,3.860624883,6.398823629,6.058577027,6.334990223,6.831115593,90,5.58,146,6.205557796,120,3
Guyana,GUY,Latin America & the Caribbean,2015,4.272232007,7.248257893,10,9.347222222,,8.208333333,5,6.87254902,4.345251687,8.259076039,6.412824588,6.730537494,6.949566919,83,6.52,105,6.73478346,86,3
Haiti,HTI,Latin America & the Caribbean,2015,3.355847529,7.772491982,10,9.175925926,10,8.238095238,6.875,7.667458727,2.478433986,7.762247303,7.781865319,7.014802855,7.210986994,72,6.54,104,6.875493497,77,2
Honduras,HND,Latin America & the Caribbean,2015,3.263532774,5.944444444,8.333333333,8.694444444,8.5,7.928571429,7.5,9.034558824,3.991802199,9.357845185,7.4193701,6.948777919,6.397629225,105,7.35,50,6.873814613,79,2
Hong Kong,HKG,East Asia,2015,7.794569763,9.403960669,10,8.431481481,8,8.773809524,9.25,8.61566061,8.081274856,9.508448793,9.227087021,9.408802491,8.745161709,28,8.97,1,8.857580854,2,1
Hungary,HUN,Eastern Europe,2015,5.864154318,9.532159043,10,8.046296296,9,8.892857143,10,4.765497079,6.038421495,9.491677243,7.9088911,7.7229864,8.442993684,37,7.19,65,7.816496842,41,2
Iceland,ISL,Western Europe,2015,7.925369551,9.878877069,10,8.103703704,10,9.630952381,9.25,5.440940619,8.450045002,7.1704662,7.14833591,8.032681337,9.149527264,13,7.25,59,8.199763632,27,1
India,IND,South Asia,2015,4.197374773,7.415244046,6.666666667,5.885185185,7,7.963887534,5.5,7.823854613,5.09835622,8.099949043,5.55879423,6.462361374,6.204728643,112,6.61,98,6.407364322,114,3
Indonesia,IDN,South Asia,2015,4.093585354,8.920480629,6.666666667,4.305555556,7,7.523809524,6.25,7.772704636,4.518732007,9.36163255,6.989431454,6.343163804,6.42811967,103,7,75,6.714059835,90,3
Iran,IRN,Middle East & North Africa,2015,4.283833849,7.102750597,0,4.296296296,4,5.157980209,3,7.456834028,4.536952314,,4.533740564,5.074784241,4.492073762,153,5.4,149,4.946036881,154,4
Iraq,IRQ,Middle East & North Africa,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ireland,IRL,Western Europe,2015,8.106677731,9.751065703,10,8.718518519,7.5,9.547619048,10,6.33416981,7.998138486,9.534898929,8.763022235,8.617663659,9.041049615,19,8.25,5,8.645524808,4,1
Israel,ISR,Middle East & North Africa,2015,7.110583565,9.244018632,1.666666667,6.677407407,10,8.996194783,10,6.230323288,6.132119415,9.4922158,8.112342685,7.384474409,7.822677435,49,7.47,38,7.646338717,46,2
Italy,ITA,Western Europe,2015,6.562639849,9.894689851,10,8.207407407,9.5,9.071428571,9.25,5.438315217,5.664803584,9.740915961,8.256774142,7.469066129,8.717216023,29,7.31,55,8.013608012,34,1
Jamaica,JAM,Latin America & the Caribbean,2015,5.189786736,6.5,8.333333333,9.488888889,9.5,9.571428571,6.25,7.465032479,5.157474738,8.68481998,7.039514085,7.911118346,7.236811763,71,7.25,59,7.243405882,62,2
Japan,JPN,East Asia,2015,7.582453683,9.684402323,10,7.92037037,7.5,9.226190476,9.25,4.55953243,7.603896561,9.628885834,7.42936534,8.074624021,8.706370086,31,7.46,41,8.083185043,31,1
Jordan,JOR,Middle East & North Africa,2015,5.717400929,8.179989552,6.666666667,6.522592593,5,6.666666667,3.333333333,7.381609179,4.763858993,9.658207434,7.629934308,7.905342185,6.293273546,109,7.47,38,6.881636773,77,2
Kazakhstan,KAZ,Caucasus & Central Asia,2015,4.533929223,9.025902786,5,5.653703704,4,6.416666667,9.25,7.520196516,5.606111942,8.948409024,6.382320669,7.819413676,6.421995039,104,7.26,58,6.84099752,80,2
Kenya,KEN,Sub-Saharan Africa,2015,3.653392125,7.020988632,6.666666667,7.35037037,7,8.030902222,7.5,7.769724167,4.745102997,9.099685277,6.634142518,7.295394539,6.323389115,108,7.11,70,6.716694558,89,3
"Korea, South",KOR,East Asia,2015,7.581303501,9.459102962,8.333333333,9.261111111,9.5,9.023809524,9.25,6.858782414,6.450502182,9.662441658,7.547693557,7.205590501,8.796927013,27,7.55,32,8.173463506,30,1
Kuwait,KWT,Middle East & North Africa,2015,5.287818148,7.380155825,5,5.068148148,4,7.148935707,1.666666667,6.210112177,4.990165384,7.580700058,6.760854723,7.388872686,5.455368545,140,6.59,101,6.022684273,129,4
Kyrgyz Republic,KGZ,Caucasus & Central Asia,2015,3.97967728,7.916322431,5,6.677222222,,6.226151955,8,7.135893991,4.201226563,8.635584948,7.361044048,6.727730802,6.2119217,111,6.81,85,6.51096085,105,3
Laos,LAO,South Asia,2015,4.024116448,8.176446837,5,7.361111111,0.5,5.797619048,10,8.484856186,5.980598311,7.345320609,6.739296369,6.314050838,5.916013837,125,6.97,76,6.443006919,111,3
Latvia,LVA,Eastern Europe,2015,6.495442917,9.551688703,10,8.735185185,10,9.30952381,10,6.392998987,6.398926191,9.470722785,8.346437702,8.014936261,8.816253805,26,7.72,18,8.268126902,23,1
Lebanon,LBN,Middle East & North Africa,2015,4.073774974,6.48568774,6.666666667,7.518518519,9,8.261904762,3.333333333,8.78321269,4.050679036,9.569162912,6.892919148,5.736985942,6.117908007,119,7.01,74,6.563954003,102,3
Lesotho,LSO,Sub-Saharan Africa,2015,4.953361465,5.644185347,10,8.963888889,,7.666666667,5.625,4.836531635,5.762699818,7.909614173,6.465755668,7.46011001,6.681331147,95,6.49,109,6.585665574,101,3
Liberia,LBR,Sub-Saharan Africa,2015,3.690212337,8.202872283,6.666666667,8.989444444,,7.354166667,4.166666667,8.488425676,4.67597891,9.118856048,6.101857646,5.958429106,6.370389211,106,6.87,80,6.620194605,98,3
Libya,LBY,Middle East & North Africa,2015,2.516339442,5.27726086,5,7.044074074,2.5,4.880952381,0.833333333,4.75,3.206338892,6.610824533,4.76377485,5.126018399,3.974236054,156,4.89,155,4.432118027,156,4
Lithuania,LTU,Eastern Europe,2015,6.814692987,9.217806543,10,8.848148148,10,9.464285714,10,7.181097919,6.533776518,9.409066146,8.197829986,8.002407119,8.839368269,23,7.86,13,8.349684134,20,1
Luxembourg,LUX,Western Europe,2015,8.230305676,9.904131225,10,8.992962963,10,9.714285714,9.25,4.167885568,8.356142386,9.456262324,8.304784786,7.897112364,9.329334093,6,7.64,27,8.484667047,13,1
Macedonia,MKD,Eastern Europe,2015,5.124722125,8.608715024,6.666666667,8.577777778,8,7.880952381,9.25,6.264343034,5.070281017,8.314453063,7.950308009,8.217119468,7.47089897,64,7.16,66,7.315449485,55,2
Madagascar,MDG,Sub-Saharan Africa,2015,3.725265401,8.252875827,10,7.633333333,5.5,8.273809524,7.5,8.160662766,2.881012258,8.048098568,6.609125378,5.874577124,6.885249593,86,6.31,119,6.597624796,100,3
